polynomial,term_0,term_1,term_2,term_3,gcd,zero_terms,galois_group,discriminant
x^4 - 15*x^3 - 15*x^2 - 14*x + 1,3704,3404,3952,29,1,0,S4,-51925631
x^4 - 15*x^3 - 15*x^2 - 13*x + 1,3097,3029,3539,56,1,0,S4,-42512171
x^4 - 15*x^3 - 15*x^2 - 12*x + 1,2568,2684,3156,81,1,0,S4,-34401191
x^4 - 15*x^3 - 15*x^2 - 11*x + 1,2111,2369,2803,104,1,0,S4,-27479291
x^4 - 15*x^3 - 15*x^2 - 10*x + 1,1720,2084,2480,125,1,0,S4,-21633719
x^4 - 15*x^3 - 15*x^2 - 9*x + 1,1389,1829,2187,144,1,0,S4,-16752371
x^4 - 15*x^3 - 15*x^2 - 8*x + 1,1112,1604,1924,161,1,0,S4,-12723791
x^4 - 15*x^3 - 15*x^2 - 7*x + 1,883,1409,1691,176,1,0,S4,-9437171
x^4 - 15*x^3 - 15*x^2 - 6*x + 1,696,1244,1488,189,1,0,S4,-6782351
x^4 - 15*x^3 - 15*x^2 - 5*x + 1,545,1109,1315,200,1,0,S4,-4649819
x^4 - 15*x^3 - 15*x^2 - 4*x + 1,424,1004,1172,209,1,0,S4,-2930711
x^4 - 15*x^3 - 15*x^2 - 3*x + 1,327,929,1059,216,1,0,S4,-1516811
x^4 - 15*x^3 - 15*x^2 - 2*x + 1,248,884,976,221,1,0,S4,-300551
x^4 - 15*x^3 - 15*x^2 - x + 1,181,869,923,224,1,0,S4,824989
x^4 - 15*x^3 - 15*x^2 + 1,120,884,900,225,1,0,S4,1966081
x^4 - 15*x^3 - 15*x^2 + x + 1,59,929,907,224,1,0,S4,3228349
x^4 - 15*x^3 - 15*x^2 + 3*x + 1,-87,1109,1011,216,1,0,S4,6535669
x^4 - 15*x^3 - 15*x^2 + 4*x + 1,-184,1244,1108,209,1,0,S4,8788729
x^4 - 15*x^3 - 15*x^2 + 5*x + 1,-305,1409,1235,200,1,0,S4,11578981
x^4 - 15*x^3 - 15*x^2 + 6*x + 1,-456,1604,1392,189,1,0,S4,15008809
x^4 - 15*x^3 - 15*x^2 + 7*x + 1,-643,1829,1579,176,1,0,S4,19179949
x^4 - 15*x^3 - 15*x^2 + 8*x + 1,-872,2084,1796,161,1,0,S4,24193489
x^4 - 15*x^3 - 15*x^2 + 9*x + 1,-1149,2369,2043,144,1,0,S4,30149869
x^4 - 15*x^3 - 15*x^2 + 10*x + 1,-1480,2684,2320,125,1,0,S4,37148881
x^4 - 15*x^3 - 15*x^2 + 11*x + 1,-1871,3029,2627,104,1,0,S4,45289669
x^4 - 15*x^3 - 15*x^2 + 12*x + 1,-2328,3404,2964,81,1,0,S4,54670729
x^4 - 15*x^3 - 15*x^2 + 13*x + 1,-2857,3809,3331,56,1,0,S4,65389909
x^4 - 15*x^3 - 15*x^2 + 14*x + 1,-3464,4244,3728,29,1,0,S4,77544409
x^4 - 15*x^3 - 14*x^2 - 14*x + 1,3648,3092,3892,29,1,0,S4,-52319563
x^4 - 15*x^3 - 14*x^2 - 13*x + 1,3045,2744,3479,56,7,0,S4,-42908908
x^4 - 15*x^3 - 14*x^2 - 12*x + 1,2520,2424,3096,81,3,0,S4,-34797483
x^4 - 15*x^3 - 14*x^2 - 11*x + 1,2067,2132,2743,104,13,0,S4,-27873508
x^4 - 15*x^3 - 14*x^2 - 10*x + 1,1680,1868,2420,125,1,0,S4,-22025851
x^4 - 15*x^3 - 14*x^2 - 9*x + 1,1353,1632,2127,144,3,0,S4,-17144028
x^4 - 15*x^3 - 14*x^2 - 8*x + 1,1080,1424,1864,161,1,0,S4,-13118203
x^4 - 15*x^3 - 14*x^2 - 7*x + 1,855,1244,1631,176,1,0,S4,-9839188
x^4 - 15*x^3 - 14*x^2 - 6*x + 1,672,1092,1428,189,21,0,S4,-7198443
x^4 - 15*x^3 - 14*x^2 - 5*x + 1,525,968,1255,200,1,0,S4,-5088076
x^4 - 15*x^3 - 14*x^2 - 4*x + 1,408,872,1112,209,1,0,S4,-3400843
x^4 - 15*x^3 - 14*x^2 - 3*x + 1,315,804,999,216,3,0,S4,-2030148
x^4 - 15*x^3 - 14*x^2 - 2*x + 1,240,764,916,221,1,0,S4,-870043
x^4 - 15*x^3 - 14*x^2 - x + 1,177,752,863,224,1,0,S4,184772
x^4 - 15*x^3 - 14*x^2 + 1,120,768,840,225,3,0,S4,1238949
x^4 - 15*x^3 - 14*x^2 + x + 1,63,812,847,224,7,0,S4,2396492
x^4 - 15*x^3 - 14*x^2 + 4*x + 1,-168,1112,1048,209,1,0,S4,7519637
x^4 - 15*x^3 - 14*x^2 + 5*x + 1,-285,1268,1175,200,1,0,S4,10117724
x^4 - 15*x^3 - 14*x^2 + 6*x + 1,-432,1452,1332,189,3,0,S4,13329477
x^4 - 15*x^3 - 14*x^2 + 7*x + 1,-615,1664,1519,176,1,0,S4,17255012
x^4 - 15*x^3 - 14*x^2 + 8*x + 1,-840,1904,1736,161,7,0,S4,21993797
x^4 - 15*x^3 - 14*x^2 + 9*x + 1,-1113,2172,1983,144,3,0,S4,27644652
x^4 - 15*x^3 - 14*x^2 + 10*x + 1,-1440,2468,2260,125,1,0,S4,34305749
x^4 - 15*x^3 - 14*x^2 + 11*x + 1,-1827,2792,2567,104,1,0,S4,42074612
x^4 - 15*x^3 - 14*x^2 + 12*x + 1,-2280,3144,2904,81,3,0,S4,51048117
x^4 - 15*x^3 - 14*x^2 + 13*x + 1,-2805,3524,3271,56,1,0,S4,61322492
x^4 - 15*x^3 - 14*x^2 + 14*x + 1,-3408,3932,3668,29,1,0,S4,72993317
x^4 - 15*x^3 - 13*x^2 - 14*x + 1,3592,2788,3832,29,1,0,S4,-52480031
x^4 - 15*x^3 - 13*x^2 - 13*x + 1,2993,2467,3419,56,1,0,S4,-43091003
x^4 - 15*x^3 - 13*x^2 - 12*x + 1,2472,2172,3036,81,3,0,S4,-34996383
x^4 - 15*x^3 - 13*x^2 - 11*x + 1,2023,1903,2683,104,1,0,S4,-28086011
x^4 - 15*x^3 - 13*x^2 - 10*x + 1,1640,1660,2360,125,5,0,S4,-22250375
x^4 - 15*x^3 - 13*x^2 - 9*x + 1,1317,1443,2067,144,3,0,S4,-17380611
x^4 - 15*x^3 - 13*x^2 - 8*x + 1,1048,1252,1804,161,1,0,S4,-13368503
x^4 - 15*x^3 - 13*x^2 - 7*x + 1,827,1087,1571,176,1,0,S4,-10106483
x^4 - 15*x^3 - 13*x^2 - 6*x + 1,648,948,1368,189,3,0,S4,-7487631
x^4 - 15*x^3 - 13*x^2 - 5*x + 1,505,835,1195,200,5,0,S4,-5405675
x^4 - 15*x^3 - 13*x^2 - 4*x + 1,392,748,1052,209,1,0,S4,-3754991
x^4 - 15*x^3 - 13*x^2 - 3*x + 1,303,687,939,216,3,0,S4,-2430603
x^4 - 15*x^3 - 13*x^2 - 2*x + 1,232,652,856,221,1,0,S4,-1328183
x^4 - 15*x^3 - 13*x^2 - x + 1,173,643,803,224,1,0,S4,-344051
x^4 - 15*x^3 - 13*x^2 + 1,120,660,780,225,15,0,S4,624825
x^4 - 15*x^3 - 13*x^2 + x + 1,67,703,787,224,1,0,S4,1680829
x^4 - 15*x^3 - 13*x^2 + 2*x + 1,8,772,824,221,1,0,S4,2925697
x^4 - 15*x^3 - 13*x^2 + 3*x + 1,-63,867,891,216,3,0,S4,4460517
x^4 - 15*x^3 - 13*x^2 + 5*x + 1,-265,1135,1115,200,5,0,S4,8801125
x^4 - 15*x^3 - 13*x^2 + 6*x + 1,-408,1308,1272,189,3,0,S4,11805849
x^4 - 15*x^3 - 13*x^2 + 7*x + 1,-587,1507,1459,176,1,0,S4,15498397
x^4 - 15*x^3 - 13*x^2 + 8*x + 1,-808,1732,1676,161,1,0,S4,19976617
x^4 - 15*x^3 - 13*x^2 + 9*x + 1,-1077,1983,1923,144,3,0,S4,25337709
x^4 - 15*x^3 - 13*x^2 + 10*x + 1,-1400,2260,2200,125,5,0,S4,31678225
x^4 - 15*x^3 - 13*x^2 + 11*x + 1,-1783,2563,2507,104,1,0,S4,39094069
x^4 - 15*x^3 - 13*x^2 + 12*x + 1,-2232,2892,2844,81,3,0,S4,47680497
x^4 - 15*x^3 - 13*x^2 + 13*x + 1,-2753,3247,3211,56,1,0,S4,57532117
x^4 - 15*x^3 - 13*x^2 + 14*x + 1,-3352,3628,3608,29,1,0,S4,68742889
x^4 - 15*x^3 - 12*x^2 - 14*x + 1,3536,2492,3772,29,1,0,S4,-52422323
x^4 - 15*x^3 - 12*x^2 - 13*x + 1,2941,2198,3359,56,1,0,S4,-43073096
x^4 - 15*x^3 - 12*x^2 - 12*x + 1,2424,1928,2976,81,1,0,S4,-35011931
x^4 - 15*x^3 - 12*x^2 - 11*x + 1,1979,1682,2623,104,1,0,S4,-28130288
x^4 - 15*x^3 - 12*x^2 - 10*x + 1,1600,1460,2300,125,5,0,S4,-22320275
x^4 - 15*x^3 - 12*x^2 - 9*x + 1,1281,1262,2007,144,1,0,S4,-17474648
x^4 - 15*x^3 - 12*x^2 - 8*x + 1,1016,1088,1744,161,1,0,S4,-13486811
x^4 - 15*x^3 - 12*x^2 - 7*x + 1,799,938,1511,176,1,0,S4,-10250816
x^4 - 15*x^3 - 12*x^2 - 6*x + 1,624,812,1308,189,1,0,S4,-7661363
x^4 - 15*x^3 - 12*x^2 - 5*x + 1,485,710,1135,200,5,0,S4,-5613800
x^4 - 15*x^3 - 12*x^2 - 4*x + 1,376,632,992,209,1,0,S4,-4004123
x^4 - 15*x^3 - 12*x^2 - 3*x + 1,291,578,879,216,1,0,S4,-2728976
x^4 - 15*x^3 - 12*x^2 - 2*x + 1,224,548,796,221,1,0,S4,-1685651
x^4 - 15*x^3 - 12*x^2 - x + 1,169,542,743,224,1,0,S4,-772088
x^4 - 15*x^3 - 12*x^2 + x + 1,71,602,727,224,1,0,S4,1070752
x^4 - 15*x^3 - 12*x^2 + 2*x + 1,16,668,764,221,1,0,S4,2200909
x^4 - 15*x^3 - 12*x^2 + 3*x + 1,-51,758,831,216,1,0,S4,3603064
x^4 - 15*x^3 - 12*x^2 + 4*x + 1,-136,872,928,209,1,0,S4,5376037
x^4 - 15*x^3 - 12*x^2 + 6*x + 1,-384,1172,1212,189,1,0,S4,10426477
x^4 - 15*x^3 - 12*x^2 + 7*x + 1,-559,1358,1399,176,1,0,S4,13898344
x^4 - 15*x^3 - 12*x^2 + 8*x + 1,-776,1568,1616,161,1,0,S4,18129829
x^4 - 15*x^3 - 12*x^2 + 9*x + 1,-1041,1802,1863,144,1,0,S4,23216512
x^4 - 15*x^3 - 12*x^2 + 10*x + 1,-1360,2060,2140,125,5,0,S4,29253325
x^4 - 15*x^3 - 12*x^2 + 11*x + 1,-1739,2342,2447,104,1,0,S4,36334552
x^4 - 15*x^3 - 12*x^2 + 12*x + 1,-2184,2648,2784,81,1,0,S4,44553829
x^4 - 15*x^3 - 12*x^2 + 13*x + 1,-2701,2978,3151,56,1,0,S4,54004144
x^4 - 15*x^3 - 12*x^2 + 14*x + 1,-3296,3332,3548,29,1,0,S4,64777837
x^4 - 15*x^3 - 11*x^2 - 14*x + 1,3480,2204,3712,29,29,0,S4,-52161343
x^4 - 15*x^3 - 11*x^2 - 13*x + 1,2889,1937,3299,56,1,0,S4,-42869443
x^4 - 15*x^3 - 11*x^2 - 12*x + 1,2376,1692,2916,81,9,0,S4,-34857783
x^4 - 15*x^3 - 11*x^2 - 11*x + 1,1935,1469,2563,104,1,0,S4,-28019443
x^4 - 15*x^3 - 11*x^2 - 10*x + 1,1560,1268,2240,125,1,0,S4,-22248151
x^4 - 15*x^3 - 11*x^2 - 9*x + 1,1245,1089,1947,144,3,0,S4,-17438283
x^4 - 15*x^3 - 11*x^2 - 8*x + 1,984,932,1684,161,1,0,S4,-13484863
x^4 - 15*x^3 - 11*x^2 - 7*x + 1,771,797,1451,176,1,0,S4,-10283563
x^4 - 15*x^3 - 11*x^2 - 6*x + 1,600,684,1248,189,3,0,S4,-7730703
x^4 - 15*x^3 - 11*x^2 - 5*x + 1,465,593,1075,200,1,0,S4,-5723251
x^4 - 15*x^3 - 11*x^2 - 4*x + 1,360,524,932,209,1,0,S4,-4158823
x^4 - 15*x^3 - 11*x^2 - 3*x + 1,279,477,819,216,9,0,S4,-2935683
x^4 - 15*x^3 - 11*x^2 - 2*x + 1,216,452,736,221,1,0,S4,-1952743
x^4 - 15*x^3 - 11*x^2 - x + 1,165,449,683,224,1,0,S4,-1109563
x^4 - 15*x^3 - 11*x^2 + 1,120,468,660,225,3,0,S4,-306351
x^4 - 15*x^3 - 11*x^2 + x + 1,75,509,667,224,1,0,S4,556037
x^4 - 15*x^3 - 11*x^2 + 2*x + 1,24,572,704,221,1,0,S4,1576097
x^4 - 15*x^3 - 11*x^2 + 3*x + 1,-39,657,771,216,3,0,S4,2851677
x^4 - 15*x^3 - 11*x^2 + 4*x + 1,-120,764,868,209,1,0,S4,4479977
x^4 - 15*x^3 - 11*x^2 + 5*x + 1,-225,893,995,200,1,0,S4,6557549
x^4 - 15*x^3 - 11*x^2 + 7*x + 1,-531,1217,1339,176,1,0,S4,12443477
x^4 - 15*x^3 - 11*x^2 + 8*x + 1,-744,1412,1556,161,1,0,S4,16441697
x^4 - 15*x^3 - 11*x^2 + 9*x + 1,-1005,1629,1803,144,3,0,S4,21268917
x^4 - 15*x^3 - 11*x^2 + 10*x + 1,-1320,1868,2080,125,1,0,S4,27018449
x^4 - 15*x^3 - 11*x^2 + 11*x + 1,-1695,2129,2387,104,1,0,S4,33782957
x^4 - 15*x^3 - 11*x^2 + 12*x + 1,-2136,2412,2724,81,3,0,S4,41654457
x^4 - 15*x^3 - 11*x^2 + 13*x + 1,-2649,2717,3091,56,1,0,S4,50724317
